epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,760.937,0.8155,2.31259,0.48298,0.52059,0.44776,0.44652,0.22061,0.39427,2.26481,0.24971,0.00997753,0.00332584,0.00997753,0.00332584,0.00997753,0.00332584,0.00997753,0.00332584
2,1458.19,0.62759,0.68782,0.30074,0.62136,0.50251,0.53875,0.25279,0.3884,0.93774,0.1993,0.019695,0.006565,0.019695,0.006565,0.019695,0.006565,0.019695,0.006565
3,2107.33,0.74805,0.64763,0.32837,0.57328,0.45018,0.4617,0.20231,0.41401,2.24691,0.21037,0.0291296,0.00970986,0.0291296,0.00970986,0.0291296,0.00970986,0.0291296,0.00970986
4,2756.31,0.77374,0.65249,0.34575,0.61077,0.45765,0.48211,0.21767,0.42644,1.25082,0.21879,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,3408.73,0.74838,0.63966,0.33246,0.60142,0.51597,0.55903,0.28121,0.36702,2.11325,0.2095,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,4060.87,0.73111,0.62228,0.32479,0.64973,0.51482,0.55967,0.26833,0.37552,1.93667,0.20906,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,4711.43,0.71533,0.63118,0.31795,0.65558,0.55126,0.59149,0.28198,0.38029,1.82109,0.20442,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,5360.86,0.70963,0.62011,0.31,0.67236,0.56551,0.62804,0.30794,0.35163,1.03626,0.18285,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,6012.07,0.70456,0.60973,0.31377,0.69392,0.60375,0.65006,0.33066,0.33636,2.07749,0.2031,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,6666.32,0.70016,0.60478,0.30444,0.68017,0.6324,0.67335,0.36349,0.33827,0.74686,0.18926,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,7316.79,0.69304,0.59488,0.30614,0.71167,0.61258,0.67533,0.34428,0.35304,0.85196,0.19371,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,7969.82,0.67733,0.59903,0.30001,0.68413,0.62884,0.66742,0.34609,0.33552,1.28219,0.19221,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,8617.76,0.66885,0.60442,0.29955,0.71698,0.67889,0.7286,0.39778,0.3109,1.12302,0.18319,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,9269.18,0.66855,0.59041,0.29593,0.71752,0.65144,0.71304,0.38432,0.3137,1.12556,0.18525,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,9919.98,0.66736,0.57941,0.28912,0.71471,0.66835,0.7113,0.37031,0.32832,1.15557,0.19114,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,10570.1,0.66087,0.58192,0.28862,0.75091,0.6574,0.71586,0.38044,0.33511,0.83327,0.19481,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,11221.6,0.65691,0.56101,0.28722,0.73497,0.68933,0.74346,0.40478,0.31258,0.96462,0.18458,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
