epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,782.212,1.58021,1.84329,1.51194,0.51648,0.48561,0.45301,0.21502,1.47553,5.79584,1.35644,0.00998875,0.00332958,0.00998875,0.00332958,0.00998875,0.00332958,0.00998875,0.00332958
2,1429.34,1.6953,1.79173,1.58918,0.42615,0.3863,0.35402,0.15604,1.65332,4.83529,1.49774,0.0198898,0.00662994,0.0198898,0.00662994,0.0198898,0.00662994,0.0198898,0.00662994
3,2044.48,1.83985,2.0345,1.70631,0.27686,0.33771,0.18912,0.07798,1.80638,24.9606,1.85418,0.0296919,0.00989729,0.0296919,0.00989729,0.0296919,0.00989729,0.0296919,0.00989729
4,2650.64,1.84085,2.03534,1.72614,0.48246,0.39919,0.38034,0.164,1.61682,9.77594,1.47477,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3257.27,1.76004,1.87423,1.65523,0.52144,0.47081,0.4642,0.21833,1.47362,5.46575,1.37931,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,3865.7,1.69897,1.76601,1.60361,0.56424,0.5097,0.51506,0.25227,1.40992,6.42537,1.32374,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4478.32,1.65144,1.68378,1.57589,0.57754,0.52275,0.53759,0.27256,1.39508,4.53508,1.32125,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5085.62,1.61809,1.59804,1.54682,0.63614,0.53357,0.57455,0.29897,1.35924,3.12082,1.29382,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5695.11,1.59924,1.55629,1.52985,0.63702,0.55017,0.5997,0.31165,1.3365,2.9623,1.26746,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6311.44,1.56641,1.51417,1.51266,0.64571,0.58203,0.61717,0.32306,1.31953,2.91655,1.25009,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,6922.48,1.55296,1.47291,1.49956,0.6568,0.58338,0.63029,0.33265,1.29544,3.26397,1.23812,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,7531.83,1.53253,1.42748,1.47799,0.65484,0.61921,0.65661,0.35183,1.28398,2.94499,1.22783,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
