epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,320.79,1.62956,2.94711,1.51716,0.42738,0.37615,0.34418,0.15803,1.74837,13.3472,1.50923,0.00995516,0.00331839,0.00995516,0.00331839,0.00995516,0.00331839,0.00995516,0.00331839
2,625.569,1.61634,2.06715,1.47097,0.3897,0.33689,0.28696,0.1163,1.94239,10.0655,1.86793,0.0198564,0.00661879,0.0198564,0.00661879,0.0198564,0.00661879,0.0198564,0.00661879
3,924.016,1.74273,1.95412,1.58269,0.20087,0.32901,0.13413,0.04851,2.23079,32.9207,2.11268,0.0296586,0.0098862,0.0296586,0.0098862,0.0296586,0.0098862,0.0296586,0.0098862
4,1218.83,1.78778,1.8995,1.62356,0.41226,0.37015,0.33386,0.13988,1.96897,12.2586,1.76828,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1514.13,1.71958,1.77218,1.57469,0.49149,0.45857,0.4627,0.21673,1.75709,12.2248,1.59727,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1806.06,1.65601,1.66817,1.53331,0.50917,0.44729,0.44829,0.21476,1.79815,6.53558,1.60666,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2095.95,1.61964,1.62249,1.50841,0.54876,0.52164,0.51935,0.25629,1.66481,6.31555,1.50667,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2387.19,1.59903,1.55061,1.48755,0.58048,0.51057,0.52958,0.26472,1.65174,2.59601,1.48065,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2673.5,1.5809,1.49496,1.4684,0.59638,0.54706,0.56962,0.28735,1.67449,3.74819,1.47748,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2962.53,1.55568,1.46656,1.45362,0.61689,0.56849,0.58337,0.29958,1.59148,10.2163,1.46063,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3250.31,1.5386,1.43447,1.44909,0.61739,0.50182,0.54974,0.27884,1.62579,4.30599,1.45838,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3538.83,1.51484,1.43069,1.4273,0.64681,0.59736,0.63807,0.32992,1.57734,3.80031,1.41127,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3825.92,1.51768,1.37384,1.42655,0.64108,0.58363,0.6242,0.32386,1.59371,2.60494,1.43479,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4116.61,1.50859,1.3643,1.42481,0.67959,0.59075,0.64976,0.34287,1.54749,1.93324,1.42108,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4407.44,1.49073,1.34104,1.40089,0.6712,0.60523,0.65544,0.35669,1.51178,1.71469,1.35225,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4699.37,1.49155,1.33775,1.40249,0.66807,0.6163,0.66609,0.36748,1.51082,2.83023,1.36907,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
